NUM_POST,latitude,longitude,type,commune,altitude,nom_usuel,num_dep
7261001,44.818,4.747,TX,SAINT-LAURENT-DU-PAPE,112,ST-LAURENT PAPE,7
7279001,44.442,4.636,RR,SAINT-MONTAN,130,ST-MONTAN,7
7286002,44.815,4.485,RR,SAINT-PIERREVILLE,560,ST-PIERREVILLE,7
7331001,44.657,4.368,RR,VALS-LES-BAINS,250,VALS-LES-BAINS,7
7338001,44.9,4.652,RR,VERNOUX-EN-VIVARAIS,561,VERNOUX,7
7338001,44.9,4.652,TX,VERNOUX-EN-VIVARAIS,561,VERNOUX,7
7347001,45.201,4.554,RR,VOCANCE,529,VOCANCE,7
8105005,49.783,4.643,RR,TOURNES,145,CHARLEVILLE-MEZ,8
8116001,49.512,4.768,RR,BAIRON ET SES ENVIRONS,168,LE CHESNE,8
8207001,50.116,4.78,RR,HAM-SUR-MEUSE,109,HAM-SUR-MEUSE,8
8239001,49.397,4.372,RR,JUNIVILLE,90,JUNIVILLE,8
8239001,49.397,4.372,TN,JUNIVILLE,90,JUNIVILLE,8
8239001,49.397,4.372,TX,JUNIVILLE,90,JUNIVILLE,8
8255001,49.617,5.217,RR,LINAY,177,LINAY,8
8255001,49.617,5.217,TN,LINAY,177,LINAY,8
8255001,49.617,5.217,TX,LINAY,177,LINAY,8
8367002,49.919,4.53,RR,ROCROI,382,ROCROI,8
8367002,49.919,4.53,TN,ROCROI,382,ROCROI,8
8419001,49.686,4.419,RR,SIGNY-L'ABBAYE,180,SIGNY-L'ABBAYE,8
9023002,42.724,1.895,RR,ASCOU,1100,ASCOU LAVAIL,9
9023002,42.724,1.895,TN,ASCOU,1100,ASCOU LAVAIL,9
9023002,42.724,1.895,TX,ASCOU,1100,ASCOU LAVAIL,9
9027001,42.93,0.92,RR,AUGIREIN,655,AUGIREIN,9
9047001,42.904,1.937,RR,BELESTA,490,BELESTA,9
9181003,43.074,1.358,RR,LE MAS-D'AZIL,293,LE MAS D AZIL,9
9289001,43.005,1.107,RR,LORP-SENTARAILLE,414,ST GIRONS,9
9289001,43.005,1.107,TN,LORP-SENTARAILLE,414,ST GIRONS,9
9289001,43.005,1.107,TX,LORP-SENTARAILLE,414,ST GIRONS,9
9328001,42.792,1.69,RR,VERDUN,550,VERDUN,9
10030001,48.325,4.02,RR,BARBEREY-SAINT-SULPICE,112,TROYES-BARBEREY,10
10042001,48.179,3.663,RR,BERULLE,146,BERULLE,10
10057001,48.44,3.505,RR,FONTAINE-MACON,102,BOUY-SUR-ORVIN,10
10057001,48.44,3.505,TN,FONTAINE-MACON,102,BOUY-SUR-ORVIN,10
10057001,48.44,3.505,TX,FONTAINE-MACON,102,BOUY-SUR-ORVIN,10
10130001,48.609,4.225,RR,DOSNON,115,DOSNON,10
10238001,48.245,4.322,RR,MESNIL-SAINT-PERE,142,MESNIL-ST-PERE,10
10261001,47.984,4.496,RR,MUSSY-SUR-SEINE,193,MUSSY-SUR-SEINE,10
10323001,48.503,3.75,RR,ROMILLY-SUR-SEINE,77,ROMILLY,10
10350001,48.17,3.789,RR,SAINT-MARDS-EN-OTHE,227,ST-MARDS,10
10401001,48.233,4.463,RR,VENDEUVRE-SUR-BARSE,180,VENDEUVRE-SUR-B,10
10419001,48.179,4.234,RR,VILLEMOYENNE,134,VILLEMOYENNE,10
11012001,43.308,2.912,RR,ARGELIERS,31,ARGELIERS,11
11012001,43.308,2.912,TN,ARGELIERS,31,ARGELIERS,11
11012001,43.308,2.912,TX,ARGELIERS,31,ARGELIERS,11
11015001,42.952,2.375,RR,ARQUES,350,ARQUES,11
