num_poste,latitude(°),longitude(°),type
46143001,44.731,1.925,RR
46160001,44.8,2.068,RR
46173006,44.398,1.775,RR
46176001,44.649,1.847,RR
46201001,44.313,1.214,RR
46287001,44.294,1.455,RR
46330002,44.97,1.701,RR
46332001,44.663,2.074,RR
47086001,44.686,0.207,RR
47091001,44.172,0.595,RR
47138001,44.266,0.775,RR
47213001,44.311,0.571,RR
47221001,44.092,0.193,RR
47327001,44.205,0.261,RR
48009001,44.727,3.28,RR
48014003,44.506,3.668,RR
48019004,44.245,3.652,RR
48027002,44.505,3.738,RR
48036001,44.27,3.763,RR
48043001,44.638,3.68,RR
48045001,44.665,3.76,RR
48051002,44.256,3.926,RR
48061002,44.309,3.596,RR
48070004,44.781,3.634,RR
48087002,44.7,3.133,RR
48095004,44.517,3.49,RR
48103001,44.541,3.308,RR
48116001,44.366,3.738,RR
48126001,44.648,3.42,RR
48140005,44.815,3.269,RR
48145005,44.735,3.473,RR
48146001,44.409,3.438,RR
48156002,44.478,3.161,RR
48187003,44.533,3.155,RR
48198001,44.442,3.928,RR
49008001,47.562,-0.97,RR
49020001,47.479,-0.614,RR
49022001,47.308,-0.598,RR
49027001,47.152,-0.938,RR
49099003,47.08,-0.881,RR
49188001,47.562,-0.317,RR
49215002,47.13,-0.142,RR
49248003,47.74,-1.188,RR
49276001,47.355,-1.012,RR
49281001,47.151,-0.74,RR
49307001,47.426,-0.319,RR
49328001,47.252,-0.074,RR
49373001,47.148,-0.517,RR
50020001,49.725,-1.94,RR
50082001,49.462,-1.65,RR
50144001,48.785,-1.104,RR
50209001,49.653,-1.464,RR
50298001,49.26,-1.299,RR
50456001,48.673,-0.887,RR
50484002,48.564,-1.097,RR
51009001,48.586,3.819,RR
51015001,49.064,4.85,RR
51210001,49.069,3.966,RR
51242001,48.94,4.309,RR
51262001,48.701,4.618,RR
51388003,49.108,4.359,RR
51449002,49.21,4.155,RR
51545001,48.734,4.208,RR
51588001,49.085,4.776,RR
51590002,48.85,4.772,RR
52061002,48.162,5.35,RR
52114001,48.047,4.908,RR
52123003,48.523,5.114,RR
52145001,47.692,5.46,RR
52197003,47.784,5.615,RR
52269001,47.844,5.338,RR
52294001,48.56,4.91,RR
