COMMUNE,NUM_POSTE,ALTI,NOM_USUEL,LAT_DG,NUM_DEP,LON_DG,ficheClimComplete,ficheClimReduite
ISSANLAS,07105001,1215,ISSANLAS,44.773167,7,3.981667,0,0
ISSANLAS,07105003,1264,ISSANLAS_SAPC,44.7555,7,3.975333,0,1
LABLACHERE,07117001,265,LABLACHERE DROME,44.461333,7,4.234833,0,1
LABLACHERE,07117002,295,LABLACHERE,44.480833,7,4.208333,0,1
LALOUVESC,07128001,1090,LALOUVESC,45.117833,7,4.535,0,1
LANAS,07131001,265,LANAS SYN,44.537167,7,4.368167,0,1
LOUBARESSE,07144001,1220,LOUBARESSE,44.599833,7,4.049333,0,1
MAYRES,07153001,579,MAYRES,44.667167,7,4.113,0,0
MAZAN-L'ABBAYE,07154005,1240,MAZAN ABBAYE RAD,44.733833,7,4.083833,0,1
MIRABEL,07159001,275,MIRABEL SA,44.5815,7,4.497333,0,1
MONTPEZAT-SOUS-BAUZON,07161001,602,MONTPEZAT SA,44.715667,7,4.207,0,1
ORGNAC-L'AVEN,07168001,230,ORGNAC AVEN,44.288333,7,4.421667,0,1
PEAUGRES,07172002,480,PEAUGRES RAD,45.286167,7,4.705833,0,1
PREAUX,07185001,525,PREAUX SA,45.14,7,4.665,0,1
PRUNET,07187001,779,CROIX MILLET,44.606333,7,4.241333,0,1
SABLIERES,07202002,540,SABLIERES OARA,44.533,7,4.0725,0,1
SAINT-AGREVE,07204008,1014,ST-AGREVE RAD,44.997833,7,4.368,0,1
SAINT-DESIRAT,07228001,275,ST-DESIRAT SA,45.260333,7,4.783667,0,1
SAINT-ETIENNE-DE-LUGDARES,07232001,1022,ST-ETIENNE LUGDARES,44.651333,7,3.9485,0,1
SAINT-GEORGES-LES-BAINS,07240001,112,ST-GEORGES BAIN,44.860333,7,4.8325,0,0
SAINT-LAURENT-DU-PAPE,07261001,112,ST-LAURENT PAPE,44.817833,7,4.746833,0,1
SAINT-MARCEL-LES-ANNONAY,07265001,484,ST-MARCEL ANNONAY,45.296167,7,4.641833,0,1
SAINT-MONTAN,07279001,130,ST-MONTAN,44.441833,7,4.636333,0,0
SAINT-PIERREVILLE,07286002,560,ST-PIERREVILLE,44.814333,7,4.485,0,1
SAINT-SAUVEUR-DE-CRUZIERES,07294001,149,ST-SAUVEUR SA,44.296,7,4.26,0,1
LA SOUCHE,07315004,924,LA SOUCHE,44.6285,7,4.123667,0,0
VALLON-PONT-D'ARC,07330004,120,VALLON SA,44.391833,7,4.403667,0,1
VALS-LES-BAINS,07331001,250,VALS-LES-BAINS,44.656667,7,4.368333,0,1
LES VANS,07334004,140,LES VANS-SA,44.4155,7,4.150833,0,1
VERNOUX-EN-VIVARAIS,07338001,561,VERNOUX,44.8995,7,4.652333,0,1
VOCANCE,07347001,529,VOCANCE,45.201167,7,4.554333,0,0
BANOGNE-RECOUVRANCE,08046001,130,BANOGNE-RECOUVRANCE,49.571667,8,4.129167,0,1
BUZANCY,08089003,199,BUZANCY_SAPC,49.427333,8,4.9645,0,1
CAUROY,08092001,139,CAUROY,49.346833,8,4.465167,0,1
TOURNES,08105005,145,CHARLEVILLE-MEZ,49.782833,8,4.643167,1,1
BAIRON ET SES ENVIRONS,08116001,168,LE CHESNE,49.511667,8,4.7675,0,0
DOUZY,08145001,153,DOUZY,49.658,8,5.039833,0,1
